t_nm,d_nm,rho_exp_uohm_cm,rho_model_R032_uohm_cm,rho_model_R0425_uohm_cm,residual_R032_exp_minus_model,residual_R0425_exp_minus_model
9.2,4.727891156462585,12.8,13.671241157782262,18.671799650880946,-0.8712411577822614,-5.871799650880945
21.1,8.775510204081634,7.71,7.984573451565579,10.68330976334151,-0.2745734515655789,-2.9733097633415104
34.0,11.777070063694268,5.48,6.236495821539137,8.250555830456134,-0.7564958215391364,-2.770555830456134
42.2,13.566433566433568,4.8,5.590677814886249,7.3408335011067125,-0.7906778148862488,-2.5408335011067127
50.7,16.241258741258743,4.48,4.957643463475683,6.42182312743411,-0.4776434634756823,-1.9418231274341098
70.1,22.318840579710145,3.88,4.0808881158076,5.150228076800076,-0.2008881158075999,-1.270228076800076
111.0,32.70168855534709,3.29,3.315901262226576,4.050180835238054,-0.025901262226576183,-0.7601808352380539
166.1,43.03939962476547,2.98,2.9142679759330616,3.475324116076798,0.06573202406693834,-0.49532411607679805
